Country Name,Date,"Transit: Railways, (million passenger-km)","Transit: Passenger cars (per 1,000 people)",Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Health: Health expenditure per capita (current US$),"Health: Health expenditure, total (% GDP)",Population: Total (count),Population: Urban (count),"Population:: Birth rate, crude (per 1,000)","Health: Life expectancy at birth, female (years)","Health: Life expectancy at birth, male (years)","Health: Life expectancy at birth, total (years)",Population: Ages 0-14 (% of total),Population: Ages 15-64 (% of total),Population: Ages 65+ (% of total),Finance: GDP (current US$),Finance: GDP per capita (current US$),Destinations,Sources
Ireland,7/1/2000,"1,389",,"2,461,000",18,7,"1,538",6,"3,805,174","2,248,858",14,79,74,77,22,67,11,"97,524,453,299","25,629","[('United Kingdom', '636751'), ('France', '181039'), ('United States', '163136')]","[('United Kingdom', '227440'), ('United States', '24104'), ('Germany', '10126')]"
Isle of Man,7/1/2000,,,,,,,,"76,803","39,784",,,,,,,,"1,563,667,800","20,359","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Israel,7/1/2000,781,,"4,400,000",20,7,"1,451",7,"6,289,000","5,748,146",22,81,77,79,28,62,10,"124,895,151,203","19,859","[('West Bank and Gaza', '479728'), ('United States', '125896'), ('Canada', '16897')]","[('Russian Federation', '420072'), ('Azerbaijan', '225396'), ('Morocco', '187826')]"
Italy,7/1/2000,"44,849",,"42,246,000",23,6,"1,547",8,"56,942,108","38,265,097",9,83,77,79,14,67,18,"1,104,009,462,562","19,388","[('Germany', '629291'), ('United States', '547833'), ('Switzerland', '336726')]","[('Morocco', '286498'), ('Albania', '275300'), ('Romania', '119123')]"
Jamaica,7/1/2000,,,"366,952",3,30,190,5,"2,589,389","1,341,303",21,73,68,70,33,60,7,"9,008,629,729","3,479","[('United States', '575845'), ('United Kingdom', '152843'), ('Canada', '118874')]","[('United States', '6169'), ('United Kingdom', '4722'), ('Haiti', '1449')]"
Japan,7/1/2000,"240,793",,"66,784,374",30,5,"2,827",8,"126,870,000","82,719,240",9,85,78,81,15,68,17,"4,731,198,760,271","37,292","[('United States', '500527'), ('Brazil', '70837'), ('United Kingdom', '59546')]","[('Korea, Rep.', '685943'), ('China', '335495'), ('Brazil', '242246')]"
Jordan,7/1/2000,,,"388,949",3,29,169,10,"4,797,500","3,756,443",30,73,71,72,40,57,3,"8,463,892,909","1,764","[('Kuwait', '434725'), ('West Bank and Gaza', '269988'), ('Saudi Arabia', '127456')]","[('West Bank and Gaza', '104718'), ('Egypt, Arab Rep.', '102174'), ('Iraq', '36440')]"
Kazakhstan,7/1/2000,"10,215",,"197,300",1,44,51,4,"14,883,626","8,379,481",15,71,60,66,28,66,7,"18,291,990,619","1,229","[('Russian Federation', '2584955'), ('Ukraine', '245072'), ('Uzbekistan', '164799')]","[('Russian Federation', '1931909'), ('Ukraine', '402671'), ('Uzbekistan', '109989')]"
Kenya,7/1/2000,350,,"127,404",0,111,17,4,"31,253,701","6,156,979",38,53,51,52,44,53,3,"12,691,278,914",406,"[('United Kingdom', '130511'), ('United States', '43978'), ('Uganda', '43186')]","[('Uganda', '351083'), ('Tanzania', '61151'), ('Sudan', '48296')]"
Kiribati,7/1/2000,,,300,2,65,65,8,"84,010","36,124",,62,57,60,,,,"68,239,321",812,"[('United States', '6471'), ('Naura', '1950'), ('Solomon Islands', '1404')]","[('Tuvalu', '1040'), ('Australia', '174'), ('Fiji', '108')]"
"Korea, Dem. Rep.",7/1/2000,,,0,0,58,,,"22,894,095","13,782,245",18,69,62,65,26,67,7,,,"[('Korea, Rep.', '431629'), ('China', '40337'), ('Hong Kong SAR, China', '29763')]","[('China', '20739'), ('Korea, Rep.', '4185'), ('Philippines', '1582')]"
