Country Name,Date,"Transit: Railways, (million passenger-km)","Transit: Passenger cars (per 1,000 people)",Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Health: Health expenditure per capita (current US$),"Health: Health expenditure, total (% GDP)",Population: Total (count),Population: Urban (count),"Population:: Birth rate, crude (per 1,000)","Health: Life expectancy at birth, female (years)","Health: Life expectancy at birth, male (years)","Health: Life expectancy at birth, total (years)",Population: Ages 0-14 (% of total),Population: Ages 15-64 (% of total),Population: Ages 65+ (% of total),Finance: GDP (current US$),Finance: GDP per capita (current US$),Destinations,Sources
Tuvalu,7/1/2000,,,0,5,44,160,12,"9,419","4,333",,,,,,,,"13,940,067","1,480","[('Kiribati', '1040'), ('New Zealand', '1005'), ('Naura', '520')]","[('United Kingdom', '75'), ('Australia', '40'), ('Fiji', '24')]"
Uganda,7/1/2000,,,"126,913",0,144,15,7,"24,213,120","2,929,788",48,47,45,46,49,49,3,"6,193,246,632",256,"[('Kenya', '351083'), ('Sudan', '51331'), ('United Kingdom', '29745')]","[('Sudan', '149360'), ('Congo, Dem. Rep.', '86624'), ('Rwanda', '65400')]"
Ukraine,7/1/2000,"51,767",,"818,524",1,18,36,6,"49,175,848","32,996,994",8,74,62,68,18,68,14,"31,261,527,363",636,"[('Russian Federation', '3559975'), ('United States', '444101'), ('Kazakhstan', '402671')]","[('Russian Federation', '3613240'), ('Belarus', '270751'), ('Kazakhstan', '245072')]"
United Arab Emirates,7/1/2000,,,"1,428,115",24,12,699,3,"3,033,491","2,360,056",17,76,74,75,26,73,1,"104,337,375,343","34,395","[('West Bank and Gaza', '32202'), ('India', '14316'), ('Kuwait', '8991')]","[('India', '751142'), ('Pakistan', '569556'), ('Egypt, Arab Rep.', '133986')]"
United Kingdom,7/1/2000,"38,200",,"43,452,000",27,7,"1,767",7,"58,892,514","52,649,908",11,80,75,78,19,65,16,"1,477,200,786,806","25,083","[('Australia', '1026553'), ('United States', '833858'), ('Canada', '606723')]","[('Ireland', '636751'), ('India', '524796'), ('Pakistan', '350867')]"
United States,7/1/2000,,,"109,478,031",43,9,"4,703",13,"282,162,411","223,190,467",15,79,74,77,21,66,12,"9,898,800,000,000","35,082","[('Mexico', '350626'), ('Canada', '270708'), ('Puerto Rico', '243628')]","[('Mexico', '9367910'), ('Philippines', '1505820'), ('Puerto Rico', '1455095')]"
Uruguay,7/1/2000,,,"410,787",11,17,773,11,"3,300,847","3,013,674",16,79,71,75,25,62,13,"22,823,255,806","6,914","[('Argentina', '119169'), ('United States', '25507'), ('Brazil', '24756')]","[('Argentina', '25146'), ('Spain', '20682'), ('Brazil', '12950')]"
Uzbekistan,7/1/2000,"2,163",,"53,128",0,63,32,6,"24,650,400","9,194,599",21,70,64,67,37,58,4,"13,760,374,488",558,"[('Russian Federation', '918037'), ('Ukraine', '242390'), ('Kazakhstan', '109989')]","[('Russian Federation', '746535'), ('Kazakhstan', '164799'), ('Ukraine', '162266')]"
Vanuatu,7/1/2000,,,365,2,23,48,4,"185,074","40,161",33,69,66,68,41,55,3,"272,014,693","1,470","[('New Caledonia', '4064'), ('Australia', '888'), ('United States', '492')]","[('Australia', '243'), ('Samoa', '185'), ('France', '120')]"
"Venezuela, RB",7/1/2000,,,"5,447,172",3,25,273,6,"24,311,000","21,806,967",23,76,70,73,34,62,5,"117,147,614,566","4,819","[('United States', '118195'), ('Spain', '54198'), ('Colombia', '37169')]","[('Colombia', '617744'), ('Spain', '77759'), ('Portugal', '54250')]"
Vietnam,7/1/2000,"3,200",,"788,559",0,35,22,5,"77,630,900","18,864,309",17,74,70,72,32,62,6,"31,172,517,272",402,"[('United States', '1028454'), ('Australia', '152582'), ('Canada', '146343')]","[('Indonesia', '10529'), ('China', '8940'), ('Malaysia', '4813')]"
Virgin Islands (U.S.),7/1/2000,,,"35,000",14,,,,"108,639","100,600",14,80,75,78,26,66,9,,,"[('United States', '78966'), ('Ghana', '4632'), ('Puerto Rico', '1454')]","[('United States', '15745'), ('St. Kitts and Nevis', '7069'), ('Dominica', '4919')]"
West Bank and Gaza,7/1/2000,,,"7,076",1,31,,,"3,004,150","2,147,967",41,72,69,71,47,50,2,"4,113,261,233","1,369","[('Syrian Arab Republic', '458611'), ('Jordan', '104718'), ('Saudi Arabia', '90715')]","[('Israel', '479728'), ('Jordan', '269988'), ('Kuwait', '156362')]"
"Yemen, Rep.",7/1/2000,,,"32,042",0,100,25,4,"17,723,186","4,661,198",41,61,58,60,49,49,3,"9,636,342,275",544,"[('Saudi Arabia', '348060'), ('Kuwait', '57517'), ('United Arab Emirates', '55955')]","[('Iraq', '53675'), ('Azerbaijan', '41257'), ('Iran, Islamic Rep.', '38342')]"
Zambia,7/1/2000,183,,"98,853",0,157,18,6,"10,201,562","3,550,144",45,42,42,42,45,52,3,"3,237,716,325",317,"[('Zimbabwe', '45838'), ('South Africa', '23518'), ('Malawi', '17987')]","[('Zimbabwe', '31538'), ('Angola', '22777'), ('Congo, Dem. Rep.', '16601')]"
Zimbabwe,7/1/2000,,,"266,441",0,115,59,0,"12,509,477","4,228,203",30,44,45,45,42,55,3,"6,689,957,610",535,"[('South Africa', '129558'), ('Malawi', '57580'), ('United Kingdom', '49791')]","[('Malawi', '142229'), ('Mozambique', '95036'), ('Zambia', '45838')]"
